date,USD,EUR,RUB
2014-01-01,8.2299995422,11.3104060709,0.2504907771
2014-01-02,8.2349996368,11.2599654593,0.2489464697
2014-01-03,8.2210002638,11.1845305006,0.2476385408
2014-01-04,8.2200002670,11.1702239712,0.2476275080
2014-01-05,8.2200002670,11.1695556640,0.2476275080
2014-01-06,8.2200018664,11.2209850056,0.2473384918
2014-01-07,8.2250002503,11.2003014508,0.2481595211
2014-01-08,8.2269966592,11.1776443678,0.2478509668
2014-01-09,8.2369968503,11.1941994563,0.2478746843
2014-01-10,8.2800397333,11.3135073883,0.2504966193
2014-01-11,8.2799997330,11.3174275172,0.2497661919
2014-01-12,8.2799997330,11.3174275172,0.2497661919
2014-01-13,8.3150005349,11.3459878811,0.2498527953
2014-01-14,8.3170111988,11.3769463790,0.2496083981
2014-01-15,8.3299971695,11.3309632950,0.2496877556
2014-01-16,8.3400001521,11.3417654043,0.2496530976
2014-01-17,8.3651997757,11.3382993402,0.2492900385
2014-01-18,8.3649997711,11.3264771082,0.2489620406
2014-01-19,8.3649997711,11.3260996553,0.2489620406
2014-01-20,8.3749999360,11.3587428304,0.2480257823
2014-01-21,8.3999992986,11.3909367621,0.2474957900
2014-01-22,8.3640003204,11.3320177609,0.2463225860
2014-01-23,8.4349968356,11.5387756200,0.2474544338
2014-01-24,8.4710002894,11.5863924814,0.2451353794
2014-01-25,8.4700002670,11.5847282199,0.2447406577
2014-01-26,8.4700002670,11.5846788020,0.2447406577
2014-01-27,8.4849969980,11.6028205001,0.2443331026
2014-01-28,8.5050001137,11.6186989886,0.2441539294
2014-01-29,8.4650001520,11.5656003463,0.2412558618
2014-01-30,8.4649997644,11.4686497320,0.2425661383
2014-01-31,8.6149997703,11.6322788435,0.2450151453
2014-02-01,8.6149970731,11.6197476067,0.2449243668
2014-02-02,8.6099996567,11.6130071845,0.2452222848
2014-02-03,8.6549866633,11.7049943421,0.2441623645
2014-02-04,8.7550001138,11.8247464912,0.2496664149
2014-02-05,8.7550001136,11.8349987169,0.2507806803
2014-02-06,8.8149972722,11.9899809736,0.2542785791
2014-02-07,8.5349998232,11.6177866957,0.2455339712
2014-02-08,8.5349968156,11.6381294657,0.2452233464
2014-02-09,8.5349968156,11.6381294056,0.2457953236
2014-02-10,8.4149999619,11.4810286396,0.2421216892
2014-02-11,8.6149970731,11.7618661436,0.2479543304
2014-02-12,8.6544993373,11.7634980173,0.2484946339
2014-02-13,8.7849998474,12.0080573172,0.2497816565
2014-02-14,8.7749996185,12.0136880153,0.2495335299
2014-02-15,8.7749964549,12.0156051690,0.2498680241
2014-02-16,8.7749964549,12.0156051690,0.2498680241
2014-02-17,8.8449972607,12.1236478012,0.2510480450
2014-02-18,8.8449972581,12.1683322514,0.2495569123
2014-02-19,8.9049970365,12.2540648646,0.2497438650
2014-02-20,8.9000396190,12.1829292658,0.2487461971
2014-02-21,8.9049997325,12.2217991448,0.2505986408
2014-02-22,8.9049970391,12.2330629911,0.2507647166
2014-02-23,8.9049970391,12.2331624975,0.2507647166
2014-02-24,9.1549997324,12.5805438721,0.2580638005
2014-02-25,9.1549965637,12.5856081354,0.2567136480
2014-02-26,9.1549965637,12.5149014529,0.2542338002
2014-02-27,9.1549965637,12.5539167889,0.2533683242
2014-02-28,9.7049689441,13.3997657760,0.2705889676
2014-03-01,9.6999998093,13.3869729697,0.2690779947
2014-03-02,9.6999998093,13.3869729697,0.2690779947
2014-03-03,9.7040004730,13.3571708357,0.2652887124
2014-03-04,9.9969993702,13.7264583196,0.2769963342
2014-03-05,9.7289968470,13.3604795744,0.2694568148
2014-03-06,9.4534971133,13.0909487516,0.2612928046
2014-03-07,9.3928001980,13.0255302266,0.2577221782
2014-03-08,9.3878002167,13.0274837697,0.2576464755
2014-03-09,9.3878002167,13.0274837697,0.2579767500
2014-03-10,9.2404994964,12.8202753362,0.2537995257
2014-03-11,9.2407996479,12.8159703626,0.2534338850
